time,step,sensor_id,joint0,joint1,joint2,joint3,joint4,joint5,joint6,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1773781466.3401008,0.41025641025641024,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4688,0,0,7.4432,0,7.876,0,0,0
1773781466.3422399,0.41025641025641024,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9664,0,7.5136,0,0,0,0,0,0,8.3896,0,7.4552
1773781466.3445597,0.41025641025641024,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5136,0,7.6928,0,0,0,0,0,0,7.456,0,7.4608
1773781466.3462756,0.41025641025641024,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4432,0,7.4504,0,0,0,0,0,0,7.4568,0,7.6968
1773781466.549637,0.4358974358974359,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5656,0,7.9512,0,0,0,0,0,0,7.9112,0,7.8456
1773781466.5523384,0.4358974358974359,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6224,0,7.8312,0,0,0
1773781466.5535088,0.4358974358974359,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6488,0,8.272,0,0,0,0,0,0,7.8728,0,7.5112
1773781466.5551777,0.4358974358974359,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4808,0,0,7.3832,0,7.8984,0,0,0
1773781466.5566363,0.4358974358974359,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4296,0,7.5736,0,0,0,0,0,0,7.4464,0,7.4448
1773781466.5584419,0.4358974358974359,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4688,0,0,7.4432,0,7.8768,0,0,0
1773781466.5601223,0.4358974358974359,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9656,0,7.5136,0,0,0,0,0,0,8.388,0,7.4536
1773781466.5614727,0.4358974358974359,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5152,0,7.692,0,0,0,0,0,0,7.4544,0,7.4616
1773781466.5633898,0.4358974358974359,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.456,0,7.6984
1773781466.7665231,0.4615384615384615,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5656,0,7.9512,0,0,0,0,0,0,7.9104,0,7.8456
1773781466.7684658,0.4615384615384615,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6224,0,7.832,0,0,0
1773781466.7700398,0.4615384615384615,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6504,0,8.244,0,0,0,0,0,0,7.8776,0,7.5104
